Date,Time,Game ID,SR,SR Finish,Delta,Streak #,Win/ Loss/Draw,My Team's SR,Enemy Team's SR,Delta,Teammate,,,,,,Enemy Team,,,,,,Map,Round,Cap Score,Score/ Distance,Time Left,D/A/CP,Length of Match,Character,,,Communication level,Note,Physicological condition,Elim,ObjKills,ObjTime,Dam,Heal,Death,Weapon Acc,KillStreak,Offensive Assists,Defensive Assists,Scoped
9/5/2017,Early Morning,1,2152,2176,24,1,W,2124,2133,9,JustWingIt,Winchesterud,Koolkat,Lasthunter,NerdyAsian,Killercasrlson,MrDogsFoot,Ceuk,TheMoosePack,ThirtyPack,Rauk07,HammerFight,Dorado,1,3,85.75,2:45,Defense,8,Symmetra,Ana,,1,,Good,,,,,,,,,,,
9/5/2017,Early Morning,1,,,,1,W,2124,2133,9,JustWingIt,Winchesterud,Koolkat,Lasthunter,NerdyAsian,Killercasrlson,MrDogsFoot,Ceuk,TheMoosePack,ThirtyPack,Rauk08,HammerFight,Dorado,2,3,85.75,4:15,Attack,8,,,,1,,,,,,,,,,,,,
9/5/2017,Early Morning,1,,,,1,W,2124,2133,9,JustWingIt,Winchesterud,Koolkat,Lasthunter,NerdyAsian,Killercasrlson,MrDogsFoot,Ceuk,TheMoosePack,ThirtyPack,Rauk09,HammerFight,Dorado,3,0,,0,Defense,2,,,,1,,,,,,,,,,,,,
9/5/2017,Early Morning,1,,,,1,W,2124,2133,9,JustWingIt,Winchesterud,Koolkat,Lasthunter,NerdyAsian,Killercasrlson,MrDogsFoot,Ceuk,TheMoosePack,ThirtyPack,Rauk10,HammerFight,Dorado,4,1,,,Attack,2,,,,1,,,,,,,,,,,,,
9/5/2017,Early Morning,2,2176,2201,25,2,W,2175,2176,1,JustWingIt,LetsGo,Stadium,Necroluigi,Bleakers,Otter,Buxton,Fatherthehog,HyperionLevi,Godzilla,Bear,MercyisMine,Temple of Anubis,1,0,,0,Defense,4,Symmetra,,,1,,,,,,,,,,,,,
9/5/2017,Early Morning,2,,,,2,W,2175,2176,1,JustWingIt,LetsGo,Stadium,Necroluigi,Bleakers,Otter,Buxton,Fatherthehog,HyperionLevi,Godzilla,Bear,MercyisMine,Temple of Anubis,2,1,,0,Attack,4,Ana,,,1,,,,,,,,,,,,,
9/5/2017,Early Morning,3,2201,2201,0,0,Draw,-,-,-,JustWingIt,Owowhatsthis,ArcaneGold,Ghost,Kaiwan2,Mazelli,Callmefrost,Turtle,Broomister,Filjamz,Herono,Psychictoast,Hanamura,1,1,,0,Defense,8,Symmetra,,,1,,,,,,,,,,,,,
9/5/2017,Early Morning,3,,,,0,Draw,-,-,-,JustWingIt,Owowhatsthis,ArcaneGold,Ghost,Kaiwan2,Mazelli,Callmefrost,Turtle,Broomister,Filjamz,Herono,Psychictoast,Hanamura,2,1,,0,Attack,8,Zarya,,,1,,,,,,,,,,,,,
9/5/2017,Early Morning,4,2201,2185,-16,-1,L,-,-,-,JustWingIt,Owowhatsthis,Blascookie,Megafiesta12,Prinny,Sistars,Lain,S1eepless,Criyle,hiimfrank,AssaultedNut,Nekkibasara,EichenWalde,1,2,58.19,0,Attack,8,Ana,,,1,,,,,,,,,,,,,
9/5/2017,Early Morning,4,,,,-1,L,-,-,-,JustWingIt,Owowhatsthis,Blascookie,Megafiesta13,Prinny,Sistars,Lain,S1eepless,Criyle,hiimfrank,AssaultedNut,Nekkibasara,EichenWalde,2,3,58.2,0,Defense,8,,,,1,,,,,,,,,,,,,
9/5/2017,Early Morning,5,2185,2163,-22,-2,L,2287,2305,18,JustWingIt,Owowhatsthis,Jeffie,Lovan,ConsolePleb,Jaidenazakai,Parker,jonthebonbon,LordPrinceps,Luke,Scalier,Traveller,Dorado,1,0,,0,Attack,4,Ana,,,1,,,,,,,,,,,,,
9/5/2017,Early Morning,5,,,,-2,L,2287,2305,18,JustWingIt,Owowhatsthis,Jeffie,Lovan,ConsolePleb,Jaidenazakai,Parker,jonthebonbon,LordPrinceps,Luke,Scalier,Traveller,Dorado,2,1,,0,Defense,4,,,,1,,,,,,,,,,,,,
9/5/2017,Early Morning,6,2163,2189,26,1,W,2209,2205,-4,JustWingIt,Rhapsody,EnriquePitta,Nomi12,MangoPudding,(Korean),Departeg,BegaBond,Tanp,Toronto,Sojeck,Mvpiau,Lijang Tower,2,2-0,ww,,CP,8.5,Lucio,,,0,,,,,,,,,,,,,
9/5/2017,Early Morning,7,2189,2165,-24,-1,L,2225,2163,-62,JustWingIt,Rhapsody,EnriquePitta,Hinghoi,Sojeck,Dwarlord,Departeg,HenryZ,Toronto,Poom,Derpdare,Raiden,King's Row,1,2,56.31,0,Defense,8,Ana,,,,,,,,,,,,,,,,
9/5/2017,Early Morning,7,,,,-1,L,2225,2163,-62,JustWingIt,Rhapsody,EnriquePitta,Hinghoi,Sojeck,Dwarlord,Departeg,HenryZ,Toronto,Poom,Derpdare,Raiden,King's Row,2,2,,,Attack,8,Mercy,,,,,,,,,,,,,,,,
9/5/2017,Early Morning,8,2165,2145,-20,-2,L,2169,2192,23,JustWingIt,Combat,Castaway17,Jolthuis,C2iminal,Strobe,Wotnoodle,nickle,Jakripper,Kingspartan,Epiksol,Resetting,Volkaya Industries,1,2,,1:33,Defense,6.5,Symmetra,,,,,,,,,,,,,,,,
9/5/2017,Early Morning,8,,,,-2,L,2169,2192,23,JustWingIt,Combat,Castaway17,Jolthuis,C2iminal,Strobe,Wotnoodle,nickle,Jakripper,Kingspartan,Epiksol,Resetting,Volkaya Industries,2,1,,0,Attack,8,Ana,,,,,,,,,,,,,,,,
9/5/2017,Early Morning,9,2145,2123,-22,-3,L,2127,2139,12,JustWingIt,IamOverrated,Yogi,Lado,Saltasaurus,TheTruescrub,QQLazers,Richie,Combat,Cloud7648,C2iminal,STrobe,Route 66,1,0,,0,Attack,4,,,,,,,,,,,,,,,,,
9/5/2017,Early Morning,9,,,,-3,L,2127,2139,12,JustWingIt,IamOverrated,Yogi,Lado,Saltasaurus,TheTruescrub,QQLazers,Richie,Combat,Cloud7649,C2iminal,STrobe,Route 66,2,1,,,Defense,,,,,,,,,,,,,,,,,,
9/5/2017,Early Morning,10,2123,2103,-20,-4,L,2116,2099,-17,JustWingIt,Hempknight,Fright,Kisho,Jagger152,LastHunter,Tr1gg3rhappy,Fear,Queeflatifah,Ghundies,Anaixiana,Djelmo,Oasis,2,0-2,ll,,CP,8.5,,,,,,,,,,,,,,,,,
9/5/2017,Early Morning,11,2103,2127,24,1,W,2118,2128,10,JustWingIt,TheJamPanda,Iaove,Fear,Bobatreestem,Brax,Deiterbomber,Kari,Tr1gg3rhappy,Queeflatifah,JoniWanno,GFundies,Horizon,1,1,,0,Defense,8,,,,,,,,,,,,,,,,,
9/5/2017,Early Morning,11,,,,1,W,2118,2128,10,JustWingIt,TheJamPanda,Iaove,Fear,Bobatreestem,Brax,Deiterbomber,Kari,Tr1gg3rhappy,Queeflatifah,JoniWanno,GFundies,Horizon,2,2,,,Attack,,,,,,,,,,,,,,,,,,
9/5/2017,Night,12,2127,2155,28,2,W,2136,2129,-7,JustWingit,Zerophux,Sidekicknick,DrKaotica,LinScos3v0,Handsonic,Tengming,Hygalion,Eyeball,FireChicken,Locke,Voodoo,Nepal,3,2-1,wlw,,CP,14.5,Ana,Zen,,2,,,,,,,,,,,,,
9/5/2017,Night,13,2155,2173,18,3,W,2129,2134,5,JustWingit,Sasquatch,Gouda,Gooooober,Pyrogenex,GunsB4roses,RoastBeef,LinScos3v0,Gordo,TrenalFrenal,FballSack,Slvrbug,Numbani,1,3,71.69,2:14,Attack,6,Orisa,Zarya,,1,,,,,,,,,,,,,
9/5/2017,Night,13,,,,3,W,2129,2134,5,JustWingit,Sasquatch,Gouda,Gooooober,Pyrogenex,GunsB4roses,RoastBeef,LinScos3v0,Gordo,TrenalFrenal,FballSack,Slvrbug,Numbani,2,3,71.69,0,Defense,8,Zarya,,,1,,,,,,,,,,,,,
9/5/2017,Night,13,,,,3,W,2129,2134,5,JustWingit,Sasquatch,Gouda,Gooooober,Pyrogenex,GunsB4roses,RoastBeef,LinScos3v0,Gordo,TrenalFrenal,FballSack,Slvrbug,Numbani,3,2,,0,Attack,3,Pharah,,,1,,,,,,,,,,,,,
9/5/2017,Night,14,2173,2196,23,4,W,2177,2175,-2,JustWingit,Crimson,Canoot,Plusultra10,Dyasumi,CursedRogue,Serbruedley,BareskinJr,Maki,JBsss,Wuanyao,FlamingLog,Ilios,2,2-0,ww,,CP,6,Zen,,,1,,,,,,,,,,,,,
9/6/2017,Early Morning,15,2196,2224,28,5,W,2199,2165,-34,JustWingit,QQMore,Nick0100,Ksup,SpaceGhost,EpicGrade,Ethanlion,Orok,Blakdynamite,Violentham,Hyphyninja,Smoqe,Lijang Tower,2,2-0,ww,,CP,9,Lucio,,,1,,,,,,,,,,,,,
