Date,Time,Game ID,SR,SR Finish,Delta,Streak #,Win/ Loss/Draw,My Team's SR,Enemy Team's SR,Delta,Teammate,,,,,,Enemy Team,,,,,,Map,Round,Cap Score,Score/ Distance,Time Left,D/A/CP,Length of Match,Character,,,Communication level,Note,Physicological condition,Elim,ObjKills,ObjTime,Dam,Heal,Death,Weapon Acc,KillStreak,Offensive Assists,Defensive Assists,Scoped
3/2/2017,20:22,1,-,-,-,1,W,-,-,-,JustWingIt,HaveFun,PickThenPush,Robou,MilkStone,Spencer,Huya5911,Annihilation,Hydra,Drkpng,Ericedwards,Sovietbear,Route 66,1,3,74.5,1:32,Defend,6,Zen,,,,,,,,,,,,,,,,
3/3/2017,,1,-,-,-,1,W,-,-,-,JustWingIt,HaveFun,PickThenPush,Robou,MilkStone,Spencer,Huya5912,Annihilation,Hydra,Drkpng,Ericedwards,Sovietbear,Route 66,2,3,74.5,0:12,Attack,8,Zen,,,,,,,,,,,,,,,,
3/4/2017,,1,-,-,-,1,W,-,-,-,JustWingIt,HaveFun,PickThenPush,Robou,MilkStone,Spencer,Huya5913,Annihilation,Hydra,Drkpng,Ericedwards,Sovietbear,Route 66,3,3,74.5,0,Attack,3.5,Zen,,,,,,,,,,,,,,,,
3/5/2017,,1,-,-,-,1,W,-,-,-,JustWingIt,HaveFun,PickThenPush,Robou,MilkStone,Spencer,Huya5914,Annihilation,Hydra,Drkpng,Ericedwards,Sovietbear,Route 66,4,0,38.44,0,Defend,1.5,Zen,,,,,,,,,,,,,,,,
3/6/2017,20:46,2,-,-,-,-1,L,-,-,-,JustWingIt,HaveFun,PickThenPush,Swerro,Senpaizack,MemeStar,MagicTurtle,FunPloyee,Vrexxx,BlackDragon,TheHFactor,WhiteDragon,Gibraltar,1,1,69.24,0,Defend,6.5,Zen,,,,Mercy Carry,,,,,,,,,,,,
3/7/2017,20:46,2,-,-,-,-1,L,-,-,-,JustWingIt,HaveFun,PickThenPush,Swerro,Senpaizack,MemeStar,MagicTurtle,FunPloyee,Vrexxx,BlackDragon,TheHFactor,WhiteDragon,Gibraltar,2,2,64.14,0,Attack,6.5,Zen,Lucio,,,,,,,,,,,,,,,
3/8/2017,,3,-,-,-,-2,L,-,-,-,JustWingIt,HaveFun,GroundBeef,CloneJoshua,TheUnum,TrickyHunter,Phoenix,Toam,Diegondim,Throutar,NovaCry,Scoracek,King's Row,1,3,70.16,2:16,Defend,6,Mercy,Ana,,,Rein didn't block,,,,,,,,,,,,
3/9/2017,,3,-,-,-,-2,L,-,-,-,JustWingIt,HaveFun,GroundBeef,CloneJoshua,TheUnum,TrickyHunter,Phoenix,Toam,Diegondim,Throutar,NovaCry,Scoracek,King's Row,2,2,67.72,0,Attack,8.5,Zen,,,,,,,,,,,,,,,,
3/10/2017,21:30,4,-,-,-,1,W,-,-,-,JustWingIt,HaveFun,WulfsBach,FrogBalls,Nanjoyoshino,Tunk,Tactflamingo,Doomageddon1,Luciouscurls,PandaGoat,Whales,XacharyJohn,Numbani,1,3,71.75,3:32,Attack,4.5,Zen,,,,,,,,,,,,,,,,
3/11/2017,,4,-,-,-,1,W,-,-,-,JustWingIt,HaveFun,WulfsBach,FrogBalls,Nanjoyoshino,Tunk,Tactflamingo,Doomageddon2,Luciouscurls,PandaGoat,Whales,XacharyJohn,Numbani,2,0,,0,Defend,4,Symmetra,,,,,,,,,,,,,,,,
3/12/2017,,5,-,-,-,2,W,-,-,-,JustWingIt,HaveFun,Makh,Dex,Banjox,MrYellow,,MonkeyBoy062,OnlyAna,Skism,LoloBst,Morphin,Volskaya Industries,1,2,,1:22,Defend,7,Mercy,,,,,,,,,,,,,,,,
3/13/2017,,5,-,-,-,2,W,-,-,-,JustWingIt,HaveFun,Makh,Dex,Banjox,MrYellow,,MonkeyBoy063,OnlyAna,Skism,LoloBst,Morphin,Volskaya Industries,2,2,,1:28,Attack,6.5,Ana,,,,,,,,,,,,,,,,
3/14/2017,,5,-,-,-,2,W,-,-,-,JustWingIt,HaveFun,Makh,Dex,Banjox,MrYellow,,MonkeyBoy064,OnlyAna,Skism,LoloBst,Morphin,Volskaya Industries,3,1,,0,Defend,2,Mercy,,,,,,,,,,,,,,,,
3/15/2017,,5,-,-,-,2,W,-,-,-,JustWingIt,HaveFun,Makh,Dex,Banjox,MrYellow,,MonkeyBoy065,OnlyAna,Skism,LoloBst,Morphin,Volskaya Industries,4,2,,0:12,Attack,2,Ana,,,,Pretty cool ending,Good,,,,,,,,,,,
3/16/2017,22:00,6,-,-,-,-1,L,-,-,-,JustWingIt,HaveFun,Synclair,Dex,OMGLAG,Xraminh,JustPelican,Drifters431,Dedge,Krey,Megalan7,Wassa,Route 66,1,2,50,0,Defend,7,Mercy,,,,Feel Good But that ,Good,,,,,,,,,,,
3/17/2017,,6,-,-,-,-1,L,-,-,-,JustWingIt,HaveFun,Synclair,Dex,OMGLAG,Xraminh,JustPelican,Drifters432,Dedge,Krey,Megalan8,Wassa,Route 66,2,0,46.59,0,Attack,4.5,Ana,,,,,,,,,,,,,,,,
3/18/2017,,7,-,-,-,1,W,-,-,-,JustWingIt,HaveFun,Rhino,Yarfunkle,SonicRidersX,TriniDiddy,WilliamTaft,Ghost,Ausii,Kiko,LAX,MagicTurtle,Ilios,3,3-0,www,,CP,12,Lucio,,,,,,,,,,,,,,,,
3/19/2017,,8,-,-,-,0,Draw,-,-,-,JustWingIt,Bnutus,Havefun,Waffler11911,Silverrr,King,MrSneakums,Zalthor,BumbleBears,Aurumixus,BJornhub,StarFall,Numbani,1,3,71.69,4,Attack,8,Zen,,,,,,,,,,,,,,,,
3/20/2017,,8,-,-,-,0,Draw,-,-,-,JustWingIt,Bnutus,Havefun,Waffler11912,Silverrr,King,MrSneakums,Zalthor,BumbleBears,Aurumixus,BJornhub,StarFall,Numbani,2,3,71.69,0,Defend,9,Symmetra,Winston,,,,,,,,,,,,,,,
3/21/2017,,8,-,-,-,0,Draw,-,-,-,JustWingIt,Bnutus,Havefun,Waffler11913,Silverrr,King,MrSneakums,Zalthor,BumbleBears,Aurumixus,BJornhub,StarFall,Numbani,3,0,,0,Defend,2,Symmetra,,,,,,,,,,,,,,,,
3/22/2017,,8,-,-,-,0,Draw,-,-,-,JustWingIt,Bnutus,Havefun,Waffler11914,Silverrr,King,MrSneakums,Zalthor,BumbleBears,Aurumixus,BJornhub,StarFall,Numbani,4,0,,0,Attack,2,Zen,Mercy,,,,,,,,,,,,,,,
3/23/2017,        ,9,-,-,-,0,Draw,-,-,-,JustWingIt,Bnutus,Havefun,MrTobias199,Rogue,Tom,UnderNetwork,CptTimmy,FatMess747,RockyPwns,NeoTubninja,SPR,Hanamura,1,1,,0,Defend,8,Ana,,,,,,,,,,,,,,,,
