Date,Time,Game ID,SR,SR Finish,Delta,Streak #,Win/ Loss/Draw,My Team's SR,Enemy Team's SR,Delta,Teammate,,,,,,Enemy Team,,,,,,Map,Round,Cap Score,Score/ Distance,Time Left,D/A/CP,Length of Match,Character,,,Communication level,Note,Physicological condition,Elim,ObjKills,ObjTime,Dam,Heal,Death,Weapon Acc,KillStreak,Offensive Assists,Defensive Assists,Scoped
3/24/2017,,9,-,-,-,0,Draw,-,-,-,JustWingIt,Bnutus,Havefun,MrTobias199,Rogue,Tom,UnderNetwork,CptTimmy,FatMess747,RockyPwns,NeoTubninja,SPR,Hanamura,2,1,,0,Attack,8.5,Ana,,,,,,,,,,,,,,,,
3/25/2017,,10,-,-,-,-1,L,-,-,-,JustWingIt,Bnutus,Havefun,Jimbo6445,Radiata,Ramt,Permutation,Naka,PapaGeorgio,BeanDipster,Nick,ScrewDi,King's Row,1,3,70.16,4,Defend,4,Zen,,,,,,,,,,,,,,,,
3/26/2017,,10,-,-,-,-1,L,-,-,-,JustWingIt,Bnutus,Havefun,Jimbo6446,Radiata,Ramt,Permutation,Naka,PapaGeorgio,BeanDipster,Nick,ScrewDi,King's Row,2,3,70.16,0,Attack,9,Zen,,,,,,,,,,,,,,,,
3/27/2017,0:00,10,-,2513,2513,-1,L,-,-,-,JustWingIt,Bnutus,Havefun,Jimbo6447,Radiata,Ramt,Permutation,Naka,PapaGeorgio,BeanDipster,Nick,ScrewDi,King's Row,3,1,,1:12,Defend,3,Zen,,,,,,,,,,,,,,,,
3/4/2017,16:00,11,2513,2496,-17,-2,L,2396,2432,36,JustWingIt,Josh8Far,PickThenPush,Nvision,FrostyKuhi,The5,Wizado,FlipzFox,Pure,KitStapher,Panda48Bear,Zoratii,Ilios,5,2-3,llwwl,,CP,25,Lucio,Zen,,,Had a leaver 3rd round but we won that and the one after but then promptly lost,Bah,,,,,,,,,,,
3/4/2017,,12,2496,2542,46,1,W,2348,2392,44,JustWingIt,Josh8Far,PickThenPush,SwiftDeathxx,Phar,VizardHaha,LordchinChin,Illusions,Stitchler,Risalka,Shadowsheeps,Xsnowily,Hollywood,1,3,,1:39,Attack,6.5,Zen,,,,"Silver mercy missed a 4 man res, that was a face palm",Good,,,,,,,,,,,
3/4/2017,,12,,,,1,W,2348,2392,44,JustWingIt,Josh8Far,PickThenPush,SwiftDeathxx,Phar,VizardHaha,LordchinChin,Illusions,Stitchler,Risalka,Shadowsheeps,Xsnowily,Hollywood,2,2,93.29,0,Defend,6,Zen,,,,"Worked out nicely, had a good ult saving team.",Good,27,13,1:42,11266,10352,5,33,8,30,30,
3/4/2017,,13,2542,2584,42,2,W,2416,2477,61,JustWingIt,Josh8Far,PickThenPush,Kahta,TopHatturtle,Guts,Error143,Synerguise,Goobster,Gutsy,Snafuge,SunBro,Route 66,1,3,74.5,0,Attack,11,Zen,,,,over 3 miutes in overtime,Great,,,,,,,,,,,
3/4/2017,17:20,13,,,,2,W,2416,2477,61,JustWingIt,Josh8Far,PickThenPush,Kahta,TopHatturtle,Guts,Error143,Synerguise,Goobster,Gutsy,Snafuge,SunBro,Route 66,2,3,62.01,0,Defend,8,Zen,,,,"lots of flankers, couldnt' headshot",Good,38,25,3:26,16543,11513,13,27,16,45,37,
3/5/2017,17:07,14,2584,2635,51,3,W,2600,2540,-60,JustWingIt,Poke,Afrosamuraix,Kloz,Arocketbear,Yonde,Gaaaryyy,AcanadianGuy,Legend,Rjwagner,Alarsun,Shaka713,King's Row,0,,0,0,Defend,4.5,Mercy,,,,"Solo Mercy, that was scary",Good clamed down,,,,,,,,,,,
3/5/2017,,14,,,,3,W,2600,2540,-60,JustWingIt,Poke,Afrosamuraix,Kloz,Arocketbear,Yonde,Gaaaryyy,AcanadianGuy,Legend,Rjwagner,Alarsun,Shaka714,King's Row,1,,0,Check,Attack,2.5,Ana,,,,"Worked out well, didn't do too good",Great,3,2,0:12,409,9641,2,64,80,,4,
3/5/2017,,15,2635,2618,-17,-1,L,2641,2652,11,JustWingIt,Poke,Flex,Premomagnus,MercyisTr[]sh,Edi,LittleDevil,Vandam1,Gannon,VividReality,Atakapa,IceBear,Nepal,4,1-3,llwl,,CP,20.5,Zen,Ana,,,Our Widow was just bad,Bummed,,,,,,,,,,,
3/5/2017,,16,2618,2654,36,1,W,2643,2675,32,JustWingIt,Poke,Javachup,Krimson,Rayzombie,Silver,Rickaay,Sampsonite,Tool,Necron,Supreme,Tumblrina,Numbani,1,3,71.75,3:31,Attack,4.5,Zen,,,,"Steamrolled them pretty much, fun stuff.",Great,,,,,,,,,,,
3/5/2017,,16,,,,1,W,2643,2675,32,JustWingIt,Poke,Javachup,Krimson,Rayzombie,Silver,Rickaay,Sampsonite,Tool,Necron,Supreme,Tumblrina,Numbani,2,0,,0,Defend,4.5,Symmetra,,,,Didn't actually do much but team held on ,Good,15,7,0:57,4091,2517,4,,,,,
3/5/2017,,17,2654,2637,-17,-1,L,2611,2641,30,JustWingIt,Poke,Keemstar,Hamshira,FatMudKipz,Rparkstx,Xaazii,Avocadodude,Ateamjesus,Ratchet76,Red5Gonzo,Strikil,Temple of Anubis,1,2,,6:08,Defend,2,Symmetra,Zarya,,,Symmtra turrents failed and things fell apart there.,Bummed,,,,,,,,,,,
3/5/2017,,17,,,,-1,L,2611,2641,30,JustWingIt,Poke,Keemstar,Hamshira,FatMudKipz,Rparkstx,Xaazii,Avocadodude,Ateamjesus,Ratchet77,Red5Gonzo,Strikil,Temple of Anubis,2,2,,1:58,Attack,6,Zen,,,,Had some good ults and worke dout,Hopefuly,,,,,,,,,,,
3/5/2017,,17,,,,-1,L,2611,2641,30,JustWingIt,Poke,Keemstar,Hamshira,FatMudKipz,Rparkstx,Xaazii,Avocadodude,Ateamjesus,Ratchet78,Red5Gonzo,Strikil,Temple of Anubis,3,0,,0,Attack,2.5,Ana,,,,Hamshira pretty much threw when he wouldnt' switch off widow,Bummed,,,,,,,,,,,
3/5/2017,,17,,,,-1,L,2611,2641,30,JustWingIt,Poke,Keemstar,Hamshira,FatMudKipz,Rparkstx,Xaazii,Avocadodude,Ateamjesus,Ratchet79,Red5Gonzo,Strikil,Temple of Anubis,4,1,,Check,Defend,4,Zen,,,,"Hamshira played torb and wouldn't switch, never was in comm",Bummed,,,,,,,,,,,
3/5/2017,,18,2637,2616,-21,-2,L,2624,2641,17,JustWingIt,Poke,Jimrising,Robotate,Cybrok,Dags,Moist,Neeksfamous,Alias,Mekeretrig,Brigsby,Tyler1470,Hollywood,1,0,,0,Attack,4,Zen,,,,JimRising wasn't a good DPS,Bummed,,,,,,,,,,,
3/5/2017,,18,,,,-2,L,2624,2641,17,JustWingIt,Poke,Jimrising,Robotate,Cybrok,Dags,Moist,Neeksfamous,Alias,Mekeretrig,Brigsby,Tyler1470,Hollywood,2,1,,Check,Defend,Check,Symmetra,,,,JimRising Left,Bummed,3,2,0:10,6733,2422,6,,,,,
3/5/2017,,19,2616,2597,-19,-3,L,2583,2614,31,JustWingIt,Poke,DarthRevan,Genji,AlmostWard,PotatoNinja,RootinTootin,MonoLocoo98,Flux,ThunderBird,Lecz,BraydMayt,Numbani,1,0,,0,Attack,4,Zen,,,,No one communicated,Raging,,,,,,,,,,,
3/5/2017,,19,,,,-3,L,2583,2614,31,JustWingIt,Poke,DarthRevan,Genji,AlmostWard,PotatoNinja,RootinTootin,MonoLocoo98,Flux,ThunderBird,Lecz,BraydMayt,Numbani,2,,,Check,Defend,Check,,,,,,Raging,,,,,,,,,,,
3/5/2017,,20,2597,2629,32,1,W,2547,2509,-38,JustWingIt,Poke,Rexxy,Buzztank,Virus,herpUSDerpUS,Dagoo,Pyrath,Kalandros,XXVidecoiVXX,CallmeJim,Jakothy,Eichenwalde,1,3,Check,2:51,Attack,5,Ana,,,,Good push,Feel better,,,,,,,,,,,
3/5/2017,,20,,,,1,W,2547,2509,-38,JustWingIt,Poke,Rexxy,Buzztank,Virus,herpUSDerpUS,Dagoo,Pyrath,Kalandros,XXVidecoiVXX,CallmeJim,Jakothy,Eichenwalde,2,0,,0,Defend,4,Mercy,,,,"Good Hold, Ana was good sniping pharah",Good,,,,,,,,,,,
3/5/2017,,21,2629,2668,39,2,W,2589,2570,-19,JustWingIt,Poke,OnlyHeals,Brotoss,Lrislandon,ATallTree,TeaKettle,ImNemo,Iino2711,Vague,Chang,ZeddZaslavsk,Hanamura,1,1,,0,Defend,8,Zen,,,,Lost first cuz of Mei ult,Meh,,,,,,,,,,,
3/5/2017,,21,,,,2,W,2589,2570,-19,JustWingIt,Poke,OnlyHeals,Brotoss,Lrislandon,ATallTree,TeaKettle,ImNemo,Iino2711,Vague,Chang,ZeddZaslavsk,Hanamura,2,2,,4:04,Attack,4.5,Zen,,,,Good quick 2nd round,Good,22,6,0:52,9281,7085,4,22,,,,
3/5/2017,21:40,22,2668,2706,38,3,W,-,-,-,JustWingIt,Poke,OWOWhatsThis,Neozylom,Joey,Kelzihar,Hodo,Blueshift,IHateBastion,Zax,Kirkly,NaCl,Nepal,5,3-2,lwlww,,CP,23.5,Zen,Ana,,,Wild put on his Try hard pants,Started meh then well,25,12,2:26,8543,15152,13,62,,,28,
3/6/2017,20:20,23,2706,2746,40,4,W,2684,2598,-86,JustWingIt,Poke,GameWizard,GoatMilk,Gigabear,TSLX,Eggcid,NoZuki,Auz,KimChisMear,Dice,Riz,Ilios,3,3-0,www,,CP,10.5,Lucio,,,,Overall good 1st match of the day,Giddy,,,,,,,,,,,
3/6/2017,,24,2746,2804,58,5,W,2485,2476,-9,JustWingIt,L4MP,Poke,Ace,CookieMonstr,Eric1991,Scadam,JackCayer,BaconDracula,MackleDackle,MemeKid,Whimsy,Oasis,5,3-2,lwwlw,,CP,24.5,Zen,,,,Was close but we did it,Giddy,46,34,2:48,14021,16483,13,23,8,50,40,
3/6/2017,,25,2804,2804,0,0,Draw,2508,2491,-17,JustWingIt,L4MP,Poke,Derriere,Tezu,CombatLawyer,TurboNero,Kinematics,DrDuckManJr,Fayman,Indopro,Robzim,Volskaya Industries,1,1,,0,Defend,8,Ana,,,,Good Hold lost first point right at the end,Bummed,,,,,,,,,,,
3/6/2017,,25,,,,0,Draw,2508,2491,-17,JustWingIt,L4MP,Poke,Derriere,Tezu,CombatLawyer,TurboNero,Kinematics,DrDuckManJr,Fayman,Indopro,Robzim,Volskaya Industries,2,1,,0,Attack,8.5,Ana,,,,Kinematic was mean to me :( So close in theend though,Bummed,,,,,,,,,,,
3/6/2017,,26,2804,2861,57,6,W,2512,2550,38,JustWingIt,L4MP,Poke,Wolframalpha,Bergers59,CombatLawyer,Kennedy,Nox,Noxo,Jboo,Like78Ninjas,OptimusCack,Route 66,1,2,32.45,0,Defend,8.5,Zen,,,,,,,,,,,,,,,,
3/6/2017,,26,,,,6,W,2512,2550,38,JustWingIt,L4MP,Poke,Wolframalpha,Bergers59,CombatLawyer,Kennedy,Nox,Noxo,Jboo,Like78Ninjas,OptimusCack,Route 66,2,3,32.46,4:16,Attack,2.5,Zen,,,,,,14,7,1:45,5641,8621,6,16,7,17,22,
3/6/2017,,27,2861,2837,-24,-1,L,2543,2561,18,JustWingIt,L4MP,Poke,AxlRose,De4DSilenc3,GamingYeti,Psken,Akk,MemberBerrie,ShokkimClown,Sombero,WidowMain420,Eichenwalde,1,3,Check,5,Defend,8.5,Mercy,Ana,,,,Sad,,,,,,,,,,,
3/6/2017,,27,,,,-1,L,2543,2561,18,JustWingIt,L4MP,Poke,AxlRose,De4DSilenc3,GamingYeti,Psken,Akk,MemberBerrie,ShokkimClown,Sombero,WidowMain420,Eichenwalde,2,2,Check,0,Attack,8,Zen,,,,Memberberrie was hacking?,Questionable,,,,,,,,,,,
3/6/2017,,28,2837,2866,29,1,W,2541,2554,13,JustWingIt,L4MP,Poke,Turm,JosephKony,TrollToll,GodesReal,Hodor,JoshMcFear,JDukakis,SteepingTea,Xhal,Nepal,4,3-1,wlww,,CP,20,Lucio,Zen,,,Started getting better after i switched to zen,Good,39,27,2:18,10878,16121,13,26,9,21,20,
3/6/2017,,29,2866,2896,30,2,W,2532,2510,-22,JustWingIt,L4MP,Poke,Silentblaze,Aux,VivSauce,KorvyNah,Chance,NewFangled,LyB,Stukizc,WalkingDog,Oasis,5,3-2,lwlww,,CP,21,Zen ,,,,"Close game, Pharamercy was  tough.",Tense,41,26,2:52,10648,11816,13,19,11,45,34,
3/6/2017,,30,2896,2929,33,3,W,2578,2605,27,JustWingIt,L4MP,Poke,Dann022,Ricepixel,RipStuntz,Gurse,Phu,DxHHH101,Aegis,EdgyScrol55,Tahnr,Gibraltar,1,2,72.54,0,Defend,9,Zen,,,,,,,,,,,,,,,,
3/6/2017,,30,,,,3,W,2578,2605,27,JustWingIt,L4MP,Poke,Dann022,Ricepixel,RipStuntz,Gurse,Phu,DxHHH101,Aegis,EdgyScrol55,Tahnr,Gibraltar,2,3,72.55,0:27,Attack,8,Zen,,,,,,33,17,2:37,12418,12641,12,27,5,37,27,
3/6/2017,,31,2929,2910,-19,-1,L,2623,2572,-51,JustWingIt,L4MP,Poke,Harambe,Josquilla,Keenan,NovuSprime25,Aytex,Stuberhero,Jemy,Markwa3,Sucaruhyuna,Hollywood,1,3,79.06,1:01,Defend,7,Zen,Mercy,,,,,,,,,,,,,,,
3/6/2017,,31,,,,-1,L,2623,2572,-51,JustWingIt,L4MP,Poke,Harambe,Josquilla,Keenan,NovuSprime25,Aytex,Stuberhero,Jemy,Markwa3,Sucaruhyuna,Hollywood,2,2,Check,Check,Attack,7.5,Zen,,,,"Bastion didn't work, couldn't guard him",,11,1,1:13,5232,10877,10,,,4,9,
3/6/2017,,32,2910,2886,-24,-2,L,2867,2865,-2,JustWingIt,Poke,OneDeep,Zee,Wukong,KinXXan,GGFanatic,SicSRBer,ExaltedOne,Pupabuser,Cladtu,GGNorekobe,King's Row,1,3,79.06,0,Defend,8.5,Zen,Ana,,,Long hold at hte end but just couldn't sadly,Bummed,,,,,,,,,,,
3/6/2017,,32,,,,-2,L,2867,2865,-2,JustWingIt,Poke,OneDeep,Zee,Wukong,KinXXan,GGFanatic,SicSRBer,ExaltedOne,Pupabuser,Cladtu,GGNorekobe,King's Row,2,0,,0,Attack,4,Ana,,,,Zee and Kinxxan Threw this match with Offensive torb and Widow that couldn't kill,Triggered,8,4,0:35,5687,3372,14,41,56,,6,
3/6/2017,0:00,33,2886,2910,24,1,W,2832,2826,-6,JustWingIt,Poke,TimeLord,AgentQ52,ICarus,Stars,OneDeep,Forge,OMWTFYB,RyDooD,Samson,SauceMan,Ilios,4,3-1,lwww,,CP,14.5,Lucio,,,,Almost had a trigger team first round. Poke was junk and no one liked it :P,Happy,17,11,1:55,394,12497,11,19,5,1,15,
3/7/2017,22:00,34,2910,2888,-22,-1,L,2835,2805,-30,JustWingIt,Poke,DingleBery,DiedBySnuSnu,Parrot,Adrian,DisaSampaler,DrunkBunny,OW4Eva,Sands,MordingDong,VosstheGreat,Route 66,1,3,,0:18,Attack,8,Zen,,,,,Nice push,,,,,,,,,,,
3/7/2017,,34,,,,-1,L,2835,2805,-30,JustWingIt,Poke,DingleBery,DiedBySnuSnu,Parrot,Adrian,DisaSampaler,DrunkBunny,OW4Eva,Sands,MordingDong,VosstheGreat,Route 66,2,3,,0:02,Defend,8.5,Zen,,,,Missed DVA by a nick! :( she capped,Bummed,,,,,,,,,,,
3/7/2017,,34,,,,-1,L,2835,2805,-30,JustWingIt,Poke,DingleBery,DiedBySnuSnu,Parrot,Adrian,DisaSampaler,DrunkBunny,OW4Eva,Sands,MordingDong,VosstheGreat,Route 66,3,1,33.3,0,Defend,Check,Mercy,,,,They pushed too far we couldn't hold,Hopeful,,,,,,,,,,,
3/7/2017,,34,,,,-1,L,2835,2805,-30,JustWingIt,Poke,DingleBery,DiedBySnuSnu,Parrot,Adrian,DisaSampaler,DrunkBunny,OW4Eva,Sands,MordingDong,VosstheGreat,Route 66,4,0,Check,0,Attack,2,Mercy,,,,Couldn't push around corner,Bummed,22,9,2:47,9745,11938,9,,,,,
3/7/2017,,35,2888,2888,0,0,Draw,2821,2761,-60,JustWingIt,Poke,DiedBySnuSnu,Adrian,R2D2,Jessicaa,DrMoustache,Parrot,FattestNinja,Outerlimits,Idoux,Shots,Volskaya Industries,1,2,,6:22,Defend,1.5,Mercy,,,,Go steamrolled.,Bummed,,,,,,,,,,,
3/7/2017,,35,,,,0,Draw,2821,2761,-60,JustWingIt,Poke,DiedBySnuSnu,Adrian,R2D3,Jessicaa,DrMoustache,Parrot,FattestNinja,Outerlimits,Idoux,Shots,Volskaya Industries,2,2,,5:29,Attack,2.5,Zen,,,,Steamrolled them,Hopeful,,,,,,,,,,,
3/7/2017,,35,,,,0,Draw,2821,2761,-60,JustWingIt,Poke,DiedBySnuSnu,Adrian,R2D4,Jessicaa,DrMoustache,Parrot,FattestNinja,Outerlimits,Idoux,Shots,Volskaya Industries,3,2,,1:09,Attack,5,Zen,,,,,Feeling good,,,,,,,,,,,
3/7/2017,,35,,,,0,Draw,2821,2761,-60,JustWingIt,Poke,DiedBySnuSnu,Adrian,R2D5,Jessicaa,DrMoustache,Parrot,FattestNinja,Outerlimits,Idoux,Shots,Volskaya Industries,4,2,,1:41,Defend,4,Zen,,,,,Hopeful,,,,,,,,,,,
3/7/2017,,35,,,,0,Draw,2821,2761,-60,JustWingIt,Poke,DiedBySnuSnu,Adrian,R2D6,Jessicaa,DrMoustache,Parrot,FattestNinja,Outerlimits,Idoux,Shots,Volskaya Industries,5,1,,0,Attack,2,Ana,,,,,Hopeful,,,,,,,,,,,
3/7/2017,,35,,,,0,Draw,2821,2761,-60,JustWingIt,Poke,DiedBySnuSnu,Adrian,R2D7,Jessicaa,DrMoustache,Parrot,FattestNinja,Outerlimits,Idoux,Shots,Volskaya Industries,6,1,,0,Defend,2,Zen,,,,well went for the draw,Angry,32,19,1:37,12321,10474,16,33,8,18,24,
3/7/2017,,36,2888,2862,-26,-1,L,2821,2761,-60,JustWingIt,Poke,DiedBySnuSnu,Adrian,R2D8,Jessicaa,DrMoustache,Parrot,FattestNinja,Outerlimits,Idoux,Shots,Temple of Anubis,1,2,,5:17,Defend,2.5,Symmetra,,,,We just could not captialize on anytning,Tilted,,,,,,,,,,,
3/7/2017,,36,,,,-1,L,2821,2761,-60,JustWingIt,Poke,DiedBySnuSnu,Adrian,R2D9,Jessicaa,DrMoustache,Parrot,FattestNinja,Outerlimits,Idoux,Shots,Temple of Anubis,2,0,,0,Attack,4,Lucio,,,,Junkrat was good Archer,Tilted,2,1,0:21,1835,3089,6,23,1,0,2,
3/7/2017,,37,2862,2836,-26,-2,L,2760,2739,-21,JustWingIt,Poke,Coleman11B,DoftheC,Ghosted,TonSorteneb,EinHerJar,Aaron,Snuffles,Bloodyanger,Fawther,ProudClod,Eichenwalde,1,3,67.69,0:44,Defend,8,Mercy,,,,Just couldn't get picks,Double Tilted,,,,,,,,,,,
3/7/2017,,37,,,,-2,L,2760,2739,-21,JustWingIt,Poke,Coleman11B,DoftheC,Ghosted,TonSorteneb,EinHerJar,Aaron,Snuffles,Bloodyanger,Fawther,ProudClod,Eichenwalde,2,0,,0,Attack,4.5,Ana,,,,Just couldn't get picks,Double Tilted,,,,,,,,,,,
3/7/2017,,38,2836,2867,31,1,W,3029,3031,2,JustWingIt,ManoftheWild,Yrova,Zephur,IReign,TaeYang,DumbWalrus,JBomb,SarDine,ApolloZera,Savage,Voddkah,Temple of Anubis,1,2,,1:53,Defend,7,Zen,,,,I lost us the game Ult too early. Zarya got us after,Sad,,,,,,,,,,,
3/7/2017,,38,,,,1,W,3029,3031,2,JustWingIt,ManoftheWild,Yrova,Zephur,IReign,TaeYang,DumbWalrus,JBomb,SarDine,ApolloZera,Savage,Voddkah,Temple of Anubis,2,2,,4:09,Attack,4,Zen,,,,"Blitz it, it wsa nice",Hopeful,,,,,,,,,,,
3/7/2017,,38,,,,1,W,3029,3031,2,JustWingIt,ManoftheWild,Yrova,Zephur,IReign,TaeYang,DumbWalrus,JBomb,SarDine,ApolloZera,Savage,Voddkah,Temple of Anubis,3,1,,0,Defend,2.5,Zen,,,,Died to a reinhart charge over bridge that i  shoudl have seen coming,Bummed,,,,,,,,,,,
3/7/2017,,38,,,,1,W,3029,3031,2,JustWingIt,ManoftheWild,Yrova,Zephur,IReign,TaeYang,DumbWalrus,JBomb,SarDine,ApolloZera,Savage,Voddkah,Temple of Anubis,4,2,,0,Attack,5.5,Zen,,,,Soldier Cleared ,Relieved,28,17,1:05,13334,10467,7,31,9,31,34,
3/7/2017,,39,2867,2846,-21,-1,L,2729,2887,158,JustWingIt,CeleryMan,OWOWhatsThis,MilHouse,Nazplazz,Shin,The7Raiders,Relivard,Oblivion,QaQ,Lux,Voracity,Dorado,1,3,Check,3:03,Defend,5,Zen,,,,"Winston is good at zoning, had trouble communicating with teammates since they weren't in chat.",,,,,,,,,,,,
